89,1995-96,1995-10-21,Valladolid,Ath Madrid,0,1,A
90,1995-96,1995-10-22,Ath Bilbao,Espanol,0,0,D
91,1995-96,1995-10-22,Barcelona,Valencia,1,0,H
92,1995-96,1995-10-22,Betis,Compostela,5,0,H
93,1995-96,1995-10-22,Celta,Sevilla,4,0,H
94,1995-96,1995-10-22,La Coruna,Sp Gijon,1,0,H
95,1995-96,1995-10-22,Merida,Santander,3,1,H
96,1995-96,1995-10-22,Oviedo,Salamanca,2,2,D
97,1995-96,1995-10-22,Real Madrid,Tenerife,2,0,H
98,1995-96,1995-10-22,Vallecano,Albacete,2,0,H
99,1995-96,1995-10-22,Zaragoza,Sociedad,1,2,A
100,1995-96,1995-10-28,Albacete,Real Madrid,1,1,D
101,1995-96,1995-10-28,Compostela,Barcelona,2,1,H
102,1995-96,1995-10-28,Sevilla,La Coruna,0,0,D
103,1995-96,1995-10-29,Ath Madrid,Merida,1,1,D
104,1995-96,1995-10-29,Espanol,Celta,2,2,D
105,1995-96,1995-10-29,Salamanca,Betis,2,1,H
106,1995-96,1995-10-29,Santander,Zaragoza,0,0,D
107,1995-96,1995-10-29,Sociedad,Vallecano,2,1,H
108,1995-96,1995-10-29,Sp Gijon,Valladolid,4,2,H
109,1995-96,1995-10-29,Tenerife,Oviedo,3,3,D
110,1995-96,1995-10-29,Valencia,Ath Bilbao,3,1,H
111,1995-96,1995-11-04,Real Madrid,Sociedad,3,2,H
112,1995-96,1995-11-05,Ath Bilbao,Celta,3,0,H
113,1995-96,1995-11-05,Barcelona,Salamanca,4,1,H
114,1995-96,1995-11-05,Betis,Tenerife,3,3,D
115,1995-96,1995-11-05,La Coruna,Espanol,0,1,A
116,1995-96,1995-11-05,Merida,Sp Gijon,1,0,H
117,1995-96,1995-11-05,Oviedo,Albacete,1,0,H
118,1995-96,1995-11-05,Valencia,Compostela,5,2,H
119,1995-96,1995-11-05,Valladolid,Sevilla,3,3,D
120,1995-96,1995-11-05,Vallecano,Santander,1,2,A
121,1995-96,1995-11-05,Zaragoza,Ath Madrid,0,1,A
122,1995-96,1995-11-11,Celta,La Coruna,0,0,D
123,1995-96,1995-11-12,Albacete,Betis,0,0,D
124,1995-96,1995-11-12,Ath Madrid,Vallecano,0,0,D
125,1995-96,1995-11-12,Compostela,Ath Bilbao,2,1,H
126,1995-96,1995-11-12,Espanol,Valladolid,2,0,H
127,1995-96,1995-11-12,Salamanca,Valencia,4,0,H
128,1995-96,1995-11-12,Santander,Real Madrid,2,0,H
129,1995-96,1995-11-12,Sevilla,Merida,3,0,H
130,1995-96,1995-11-12,Sociedad,Oviedo,1,1,D
131,1995-96,1995-11-12,Sp Gijon,Zaragoza,4,1,H
132,1995-96,1995-11-12,Tenerife,Barcelona,1,1,D
133,1995-96,1995-11-18,Barcelona,Albacete,3,0,H
134,1995-96,1995-11-18,Betis,Sociedad,3,1,H
135,1995-96,1995-11-18,Real Madrid,Ath Madrid,1,0,H
136,1995-96,1995-11-18,Zaragoza,Sevilla,0,1,A
137,1995-96,1995-11-19,Ath Bilbao,La Coruna,1,0,H
138,1995-96,1995-11-19,Compostela,Salamanca,0,0,D
139,1995-96,1995-11-19,Merida,Espanol,0,1,A
140,1995-96,1995-11-19,Oviedo,Santander,2,1,H
141,1995-96,1995-11-19,Valencia,Tenerife,2,2,D
142,1995-96,1995-11-19,Valladolid,Celta,1,1,D
143,1995-96,1995-11-19,Vallecano,Sp Gijon,2,0,H
144,1995-96,1995-11-25,Sociedad,Barcelona,1,1,D
145,1995-96,1995-11-26,Albacete,Valencia,1,3,A
146,1995-96,1995-11-26,Ath Madrid,Oviedo,3,0,H
147,1995-96,1995-11-26,Celta,Merida,2,0,H
148,1995-96,1995-11-26,Espanol,Zaragoza,1,1,D
149,1995-96,1995-11-26,La Coruna,Valladolid,3,1,H
150,1995-96,1995-11-26,Salamanca,Ath Bilbao,2,1,H
151,1995-96,1995-11-26,Santander,Betis,0,0,D
152,1995-96,1995-11-26,Sevilla,Vallecano,1,0,H
153,1995-96,1995-11-26,Sp Gijon,Real Madrid,0,0,D
154,1995-96,1995-11-26,Tenerife,Compostela,1,1,D
155,1995-96,1995-12-02,Barcelona,Santander,1,1,D
156,1995-96,1995-12-02,Real Madrid,Sevilla,4,1,H
157,1995-96,1995-12-02,Vallecano,Espanol,1,0,H
158,1995-96,1995-12-03,Ath Bilbao,Valladolid,2,1,H
159,1995-96,1995-12-03,Betis,Ath Madrid,2,1,H
160,1995-96,1995-12-03,Compostela,Albacete,3,1,H
161,1995-96,1995-12-03,Merida,La Coruna,0,2,A
162,1995-96,1995-12-03,Oviedo,Sp Gijon,1,0,H
163,1995-96,1995-12-03,Salamanca,Tenerife,1,2,A
164,1995-96,1995-12-03,Valencia,Sociedad,0,1,A
165,1995-96,1995-12-03,Zaragoza,Celta,0,0,D
166,1995-96,1995-12-09,Ath Madrid,Barcelona,3,1,H
167,1995-96,1995-12-09,Santander,Valencia,0,3,A
168,1995-96,1995-12-10,Albacete,Salamanca,3,3,D
169,1995-96,1995-12-10,Celta,Vallecano,2,0,H
170,1995-96,1995-12-10,Espanol,Real Madrid,3,1,H
171,1995-96,1995-12-10,La Coruna,Zaragoza,2,3,A
172,1995-96,1995-12-10,Sevilla,Oviedo,1,1,D
173,1995-96,1995-12-10,Sociedad,Compostela,0,1,A
174,1995-96,1995-12-10,Sp Gijon,Betis,2,3,A
175,1995-96,1995-12-10,Tenerife,Ath Bilbao,3,2,H
176,1995-96,1995-12-10,Valladolid,Merida,1,1,D
177,1995-96,1995-12-16,Barcelona,Sp Gijon,1,0,H
178,1995-96,1995-12-16,Betis,Sevilla,1,1,D
179,1995-96,1995-12-17,Ath Bilbao,Merida,1,1,D
180,1995-96,1995-12-17,Compostela,Santander,2,0,H
181,1995-96,1995-12-17,Oviedo,Espanol,1,2,A
182,1995-96,1995-12-17,Real Madrid,Celta,1,0,H
183,1995-96,1995-12-17,Salamanca,Sociedad,3,3,D
184,1995-96,1995-12-17,Tenerife,Albacete,1,3,A
185,1995-96,1995-12-17,Valencia,Ath Madrid,0,1,A
186,1995-96,1995-12-17,Vallecano,La Coruna,0,6,A
187,1995-96,1995-12-17,Zaragoza,Valladolid,5,3,H
188,1995-96,1995-12-20,Albacete,Ath Bilbao,2,0,H
189,1995-96,1995-12-20,Ath Madrid,Compostela,3,0,H
190,1995-96,1995-12-20,Celta,Oviedo,1,0,H
191,1995-96,1995-12-20,Espanol,Betis,1,1,D
192,1995-96,1995-12-20,Merida,Zaragoza,1,1,D
193,1995-96,1995-12-20,Santander,Salamanca,2,1,H
194,1995-96,1995-12-20,Sevilla,Barcelona,1,0,H
195,1995-96,1995-12-20,Sociedad,Tenerife,0,1,A
196,1995-96,1995-12-20,Sp Gijon,Valencia,1,3,A
197,1995-96,1995-12-20,Valladolid,Vallecano,1,1,D
198,1995-96,1995-12-21,La Coruna,Real Madrid,3,0,H
199,1995-96,1996-01-03,Albacete,Sociedad,3,5,A
200,1995-96,1996-01-03,Ath Bilbao,Zaragoza,1,0,H
201,1995-96,1996-01-03,Betis,Celta,0,3,A
202,1995-96,1996-01-03,Compostela,Sp Gijon,1,0,H
203,1995-96,1996-01-03,Oviedo,La Coruna,0,2,A
204,1995-96,1996-01-03,Real Madrid,Valladolid,4,1,H
205,1995-96,1996-01-03,Salamanca,Ath Madrid,1,3,A
206,1995-96,1996-01-03,Tenerife,Santander,2,0,H
207,1995-96,1996-01-03,Valencia,Sevilla,1,0,H
208,1995-96,1996-01-03,Vallecano,Merida,4,1,H
209,1995-96,1996-01-04,Barcelona,Espanol,2,1,H
210,1995-96,1996-01-06,Ath Bilbao,Sociedad,0,0,D
211,1995-96,1996-01-06,Ath Madrid,Tenerife,3,1,H
212,1995-96,1996-01-07,Celta,Barcelona,1,0,H
213,1995-96,1996-01-07,Espanol,Valencia,2,0,H
214,1995-96,1996-01-07,La Coruna,Betis,0,0,D
215,1995-96,1996-01-07,Merida,Real Madrid,2,2,D
216,1995-96,1996-01-07,Santander,Albacete,5,5,D
217,1995-96,1996-01-07,Sevilla,Compostela,0,1,A
218,1995-96,1996-01-07,Sp Gijon,Salamanca,3,2,H
219,1995-96,1996-01-07,Valladolid,Oviedo,2,2,D
220,1995-96,1996-01-07,Zaragoza,Vallecano,1,1,D
221,1995-96,1996-01-13,Albacete,Ath Madrid,1,1,D
